Street,Price,Beds,Baths,Square Footage
15857 SW Wintergreen St,$429900,4,3,2124
122 NW Pittock Ave,$735000,3,3F11/2,3426
14545 NE Brazee Ct,$349999,4,2,1898
6236 NE Willow St,$415000,3,2,1050
410 SE 172nd Ave,$210000,3,1F11/2,2046
555 SW California St,$465000,2,2F11/2,1599
3947 NE Rodney Ave,$575000,3,2,3208
8037 SW Devon Ln,$539500,3,2F11/2,1890
6225 SE 13th Ave,$569900,3,2,2072
900 NE South Shore Rd,$349900,3,2,2000
6035 SE Knight St,$360000,3,1F11/2,1476
1134 SW Jefferson St #604,$200000,1,1,481
8317 SE Clay St,$389900,3,2F11/2,1850
14952 SE Caruthers Ct #24D,$140000,2,1,956
3269 NE Dekum St,$429999,3,2,1976
205 SW Montgomery St #404B,$445900,2,2,1143
3231 SE Schiller St,$595000,3,2,2644
2222 SE 135th Ave,$349000,3,1,1184
2033 NE 95th Pl,$459000,3,1F11/2,1944
1849 N Jantzen Ave,$289000,3,1,2064
3133 N Willis Blvd,$324900,3,1,945
1109 NW 97th Ave,$574900,4,3,2193
4296 NW Tamoshanter Way,$559000,3,2,1925
4516 NE 86th Ave,$334500,2,1,800
610 NE 172nd Ave,$319950,4,2,1540
1930 SW River Dr #W205,$649000,2,2,1481
4016 SW Patton Rd,$612900,3,2F11/2,2547
1500 SW 11th Ave #506,$329900,1,1,603
7522 SE Rural St,$389900,4,2,1883
6532 SE 81st Ave,$549000,5,2,3187
3671 SE Knapp St,$814900,4,2F11/2,2686
1628 SE 41st Ave,$499000,2,1,1656
1125 NW 9th Ave #307,$320000,1,1,711
5312 NE 12th Ave,$540000,4,2,2054
5108 N Trenton St,$299900,3,1,936
11745 SE Pine St,$225000,3,1,1200
3606 SE Johnson Creek Blvd,$484860,3,2,2042
3005 NE Bryant St,$350000,3,1,2516
6715 NE Fremont St,$379000,2,1,1189
10836 NE Marx St,$299000,4,1,1900
12015 NW Mcdaniel Rd,$449900,3,2,1442
12815 NW Creekside Dr,$895000,3,2F11/2,3074
5120 N Albina Ave,$199000,2,1,2561
3211 SE 22nd Ave,$549000,3,2,1774
5732 SE 134th Pl,$399900,3,2F11/2,1559
324 NE Morgan St #8-2,$310000,3,2F11/2,1371
9805 N Clarendon Ave,$320000,3,1,1326
2844 SE 90th Pl,$317999,3,1F21/2,1540
7937 SW 40th Ave #L,$199000,1,1,720
15230 NW Evelyn St,$488990,4,2F11/2,1642
2343 NW Pinnacle Dr,$1345000,4,4F11/2,5337
9216 SE Market St,$425000,3,2,1740
7163 NW Eleanor Ave,$369990,2,2F11/2,1386
332 NE 57th Ave,$395000,1,1,1984
4855 SE 65th Ave,$565000,4,2,2298
724 NE Mariners Loop,$304900,3,2F11/2,1568
1727 NE Multnomah St,$279400,2,2,1024
6600 SE Division St #102,$280000,2,2,982
1102 N Winchell St,$333900,1,1,1502
8405 SE 8th Ave,$359900,1,1,738
1608 NE Failing St,$614000,3,2,3298
3 SW Greenhouse Ln,$749900,4,3,2925
1910 NW 143rd Ave #20,$173000,1,1,626
3294 NW Kinsley Ter,$925000,6,4,3548
1125 NE 79th Ave,$335000,2,1,888
623 N Hayden Bay Dr #623,$235000,2,1F11/2,1120
2547 NW Upshur St,$999000,2,3F11/2,2771
5875 NE Failing St,$549900,3,3F11/2,2200
186 NE 187th Ave,$349999,3,1F11/2,1100
12504 SE Stark St #F,$170000,2,2,980
1616 NE 45th Ave #2,$358000,2,2,1028
1255 NW 9th Ave #314,$350000,1,1,764
420 NW 11th Ave #507,$627500,1,2,1170
1146 NE 69th Ave,$407000,3,2,1246
17163 SE Alder St,$339999,4,2F11/2,1535
3134 SE 134th Ave,$430000,5,2F11/2,3218
553 SW Chinook Ter,$590000,4,3F11/2,2305
2162 SE 139th Ave,$315000,3,1,1384
8812 NE Clackamas St,$175000,2,1,1120
2242 NE 158th Ave,$350000,2,2,1344
8431 NW Adams St,$657100,3,2F11/2,3831
8225 SE Morrison St,$379900,4,2,1003
6410 SW Seymour St,$625000,6,2F11/2,3831
2873 SE 41st Ave,$899950,4,3F11/2,2950
40 NE 139th Ave,$399900,3,1F11/2,1919
2532 NW 119th Ave,$699900,4,2F11/2,3384
4824 SW Hamilton Ct,$483800,3,2F11/2,1806
1156 NE 193rd Ave,$364900,5,2,2063
1723 SE Harney St,$734950,5,3F11/2,2765
3803 SE 28th Ave,$380000,2,1,1904
12231 NE Russell St,$339900,3,1,1389
13109 SE Cora St,$269000,4,3,2706
9636 N Woolsey Ave,$372000,4,2,1606
2078 NW 129th Pl,$829000,4,3F11/2,3462
13220 SE Harold St,$499900,4,2,2028
3030 SW Ridge Dr,$599900,4,2F11/2,3052
7308 SE Woodward St,$469950,3,2,2298
7114 SE Mitchell St,$379900,3,1,1763
2015 NW Flanders St #309,$324900,1,1,778
7730 SW Barnes Rd #B,$245000,2,1,812
13639 NE Marine Dr,$699900,3,2,2312
15281 SW Parkplace Ln,$709000,4,3,3000
3172 NE 102nd Ave,$299000,2,2,1708
9133 N Allegheny St,$459900,3,2F11/2,1635
4763 N Lombard St #1,$165000,1,1,437
1908 NW 143rd Ave #16,$265000,2,1,830
10717 NW Skyline Blvd,$1600000,4,5F11/2,5873
