,Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
0,1930 SW River Dr ,700000,2,2,1500,24386,Ainsworth Elementary School,West Sylvan Middle School,9,2006
1,16613 SE Lillian Way,405000,3,2,2102,5789,Butler Creek Elementary School,Centennial Middle School,68,1987
2,6615 SE 21st Ave,465000,2,1,1573,4822,Llewellyn Elementary School,Sellwood Middle School,16,1924
3,12424 SE Bybee Blvd,375000,3,2,2481,5193,Gilbert Park Elementary School,Alice Ott Middle School,74,1954
4,336 NE Morgan St,300000,3,2,1225,4916,Woodlawn Elementary School,Ockley Green School,146,2008
5,3291 NE Irving St,699900,4,3,3357,9306,Laurelhurst Elementary School,Laurelhurst Elementary School,21,1922
6,5105 SW Evelyn St,389000,3,2,1470,6166,Markham Elementary School,Jackson Middle School,96,1975
7,3571 NE Killingsworth St,399900,2,1,1199,2207,Rigler Elementary School,Beaumont Middle School,92,1924
8,7338 N Fowler Ave,575000,3,2,3125,7487,Peninsula Elementary School,Ockley Green School,146,1942
9,11615 SE Lexington St,435000,5,3,2554,5112,Gilbert Park Elementary School,Alice Ott Middle School,74,1964
10,3432 NE 131st Ave,389900,4,2,1913,4970,Shaver Elementary School,Parkrose Middle School,51,1962
11,3639 SE Yamhill St,849900,4,3,5193,7933,Sunnyside Environmental School,Sunnyside Environmental School,29,1910
12,9712 N Ivanhoe St,549900,3,2,2192,6935,Sitton Elementary School,George Middle School,146,2011
13,7301 SW Corbett Ave,523000,3,2,2100,9921,Rieke Elementary School,Gray Middle School,96,1989
14,5916 SW Knightsbridge Dr,615000,3,2,3024,10530,Markham Elementary School,Jackson Middle School,96,1989
15,2105 SE 89th Ave,399900,2,1,1632,3204,Harrison Park School,Harrison Park School,92,1929
16,7308 SE Woodward St,469950,3,2,2298,4950,Bridger Elementary School,Bridger Elementary School,29,1956
17,4521 SW Fairview Blvd,749900,4,3,3114,10819,Ainsworth Elementary School,West Sylvan Middle School,9,1992
18,1500 SW 5th Ave ,1450000,3,2,2436,8218,Chapman Elementary School,West Sylvan Middle School,9,1973
19,1906 NE Junior St,420000,4,1,1520,4060,Faubion Elementary School,Faubion Elementary School,92,1973
