Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
9712 N Ivanhoe St,$549900,3,2F11/2,2192,Sitton Elementary School,George Middle School,Roosevelt High School
2590 NW 121st Pl,$469995,3,2,1561,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
15711 NE Beech St ,$157500,2,2,975,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
8703 N Chase Ave,$335000,3,1,1008,Rosa Parks Elementary School,George Middle School,Roosevelt High School
7301 SW Corbett Ave,$523000,3,2F11/2,2100,Rieke Elementary School,Gray Middle School,Wilson High School
7471 SW 24th Ave,$1100000,4,3F11/2,3249,Rieke Elementary School,Gray Middle School,Wilson High School
5916 SW Knightsbridge Dr,$615000,3,2F11/2,3024,Markham Elementary School,Jackson Middle School,Wilson High School
2105 SE 89th Ave,$399900,2,1,1632,Harrison Park School,Harrison Park School,Madison High School
1440 NE 76th Ave,$435000,4,2,2164,Vestal Elementary School,Roseway Heights School,Madison High School
322 NE 76th Ave,$450000,4,2,2144,Vestal Elementary School,Roseway Heights School,Madison High School
7550 SW Barnes Rd ,$178900,1,1,572,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
1807 NE 119th Ave,$225000,3,2,1416,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
7419 N Washburne Ave,$635000,3,2F11/2,3064,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
10230 NW Gloaming Ln,$831300,4,3,3110,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
12010 SE Bush St ,$195000,3,2,966,West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School
4525 NW Kahneeta Dr,$550000,4,2,1900,Rock Creek Elementary School,Stoller Middle School,Westview High School
12280 SE Main St,$199900,2,1,962,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
5875 NE Failing St,$549900,3,3F11/2,2200,Scott Elementary School,Roseway Heights School,Madison High School
1221 SW 10th Ave ,$1545000,2,2F11/2,2067,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
10414 SW 46th Pl,$479000,3,3F11/2,2065,Markham Elementary School,Jackson Middle School,Wilson High School
7230 N Monteith Ave,$369900,3,1,1016,Astor Elementary School,Astor Elementary School,Roosevelt High School
2831 NE 108th Ave,$283000,2,1,796,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
5230 SW Burton Dr,$1390000,5,3F11/2,3394,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
10635 NE Knott St,$275000,5,1,1980,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
1220 NE 17th Ave ,$258000,2,1,962,Buckman Elementary School,Hosford Middle School,Cleveland High School
2335 NE 148th Pl,$269000,2,2,1226,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
5522 SE Ramona St,$599900,4,2,2812,Woodstock Elementary School,Hosford Middle School,Cleveland High School
6143 SW 45th Ave,$425000,3,1,1330,Hayhurst Elementary School,Gray Middle School,Wilson High School
230 N Lotus Isle Dr,$785000,5,4,3530,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
1255 NW 9th Ave ,$450000,1,1,943,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
9938 N Jersey St,$225000,3,1,936,Sitton Elementary School,George Middle School,Roosevelt High School
9946 N Jersey St,$225000,3,1,936,Sitton Elementary School,George Middle School,Roosevelt High School
1931 SE 58th Ave,$414900,2,1,2300,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
6814 SE Fern Ave,$135000,1,1,602,Lewelling Elementary School,Rowe Middle School,Milwaukie High School
1636 NW 143rd Ave,$259950,3,2F11/2,1468,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
4048 SE Salmon St,$665000,3,2,2460,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
2705 N Hunt St,$419999,3,2,1602,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3103 SW Nottingham Dr,$685000,3,2,2106,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
9428 N Haven Ave,$389900,3,2F11/2,1818,Rosa Parks Elementary School,George Middle School,Roosevelt High School
7125 N Albina Ave,$349000,2,1F11/2,1596,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
7706 SW Locust St,$340000,2,1,1136,Metzger Elementary School,Thomas R Fowler Middle School,Tualatin High School
5525 NW Skyline Blvd,$1100000,4,3,4562,Skyline Elementary School,Skyline Elementary School,Lincoln High School
2719 N Farragut St,$469500,4,2,2593,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
1715 SE 36th Ave,$589000,4,2,2423,Abernethy Elementary School,Hosford Middle School,Cleveland High School
2109 NW Irving St ,$266000,1,1,592,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
11203 SW 27th Ave,$556900,4,2F11/2,2152,Stephenson Elementary School,Jackson Middle School,Wilson High School
2470 NE Highland St,$665000,5,2F11/2,2478,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
601 SE 156th Ave,$349900,3,1F11/2,1590,Parklane Elementary School,Centennial Middle School,Centennial High School
5924 SE Cesar E Chavez Blvd,$649000,4,2,2498,Woodstock Elementary School,Hosford Middle School,Cleveland High School
1926 W Burnside St ,$539000,2,1F11/2,1181,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3205 NE 75th Ave,$594900,5,2,2194,Lee Elementary School,Roseway Heights School,Madison High School
937 NW Glisan St ,$750000,2,2,1310,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
416 NW 13th Ave ,$450000,1,1,1089,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
15847 NW Claremont Dr,$709900,3,2,1902,Oak Hills Elementary School,Meadow Park Middle School,Westview High School
333 NW 9th Ave ,$700000,1,2,1401,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
6625 SE Duke St,$339900,3,2,2053,Woodstock Elementary School,Hosford Middle School,Cleveland High School
6610 SW Terri Ct ,$155000,2,1,978,Montclair Elementary School,Whitford Middle School,Southridge High School
10823 NW Ridge Rd,$849900,4,3,3039,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
4311 NE 18th Ave ,$989900,5,3F11/2,2853,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
12631 SE Stephens St,$258000,2,1,888,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
2915 N Hunt St,$419000,4,1F11/2,1296,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
11937 SE Schiller St,$350000,3,2F11/2,2604,West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School
7904 SW Capitol Hill,$475000,3,2F11/2,2053,Rieke Elementary School,Gray Middle School,Wilson High School
10406 SW 46th Pl,$475000,4,3F11/2,2065,Markham Elementary School,Jackson Middle School,Wilson High School
15857 SW Wintergreen St,$429900,4,3,2124,Scholls Heights Elementary School,Conestoga Middle School,Mountainside High School
122 NW Pittock Ave,$735000,3,3F11/2,3426,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
14545 NE Brazee Ct,$349999,4,2,1898,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
6236 NE Willow St,$415000,3,2,1072,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
3947 NE Rodney Ave,$575000,3,2,3208,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
8037 SW Devon Ln,$539500,3,2F11/2,1890,Maplewood Elementary School,Jackson Middle School,Wilson High School
6225 SE 13th Ave,$569900,3,2,2072,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
6035 SE Knight St,$360000,3,1F11/2,1476,Woodstock Elementary School,Hosford Middle School,Cleveland High School
1134 SW Jefferson St ,$200000,1,1,481,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
8317 SE Clay St,$389900,3,2F11/2,1850,Harrison Park School,Harrison Park School,Madison High School
14952 SE Caruthers Ct ,$140000,2,1,956,Parklane Elementary School,Centennial Middle School,Centennial High School
311 NW 12th Ave ,$1299000,2,2F11/2,2117,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
330 NW Uptown Ter ,$319900,1,1,608,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
8618 N Edison St ,$359900,2,2F11/2,968,James John Elementary School,George Middle School,Roosevelt High School
8622 N Edison St ,$374900,2,2F11/2,915,James John Elementary School,George Middle School,Roosevelt High School
3269 NE Dekum St,$429999,3,2,1976,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
