Street,Price,Beds,Baths,Square Footage,Total Taxes,Elementary School,Middle School,High School,Year built
1930 SW River Dr ,$700000,2,2,1500,"$24,386",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,2006
16613 SE Lillian Way,$405000,3,2F11/2,2102,"$5,789",Butler Creek Elementary School,Centennial Middle School,Centennial High School,1987
6615 SE 21st Ave,$465000,2,1,1573,"$4,822",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,1924
12424 SE Bybee Blvd,$375000,3,2,2481,"$5,193",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1954
336 NE Morgan St,$300000,3,2F11/2,1225,"$4,916",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,2008
3291 NE Irving St,$699900,4,3,3357,"$9,306",Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School,1922
5105 SW Evelyn St,$389000,3,2,1470,"$6,166",Markham Elementary School,Jackson Middle School,Wilson High School,1975
3571 NE Killingsworth St,$399900,2,1,1199,"$2,207",Rigler Elementary School,Beaumont Middle School,Madison High School,1924
7338 N Fowler Ave,$575000,3,2,3125,"$7,487",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1942
11615 SE Lexington St,$435000,5,3,2554,"$5,112",Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School,1964
3432 NE 131st Ave,$389900,4,2F11/2,1913,"$4,970",Shaver Elementary School,Parkrose Middle School,Parkrose High School,1962
3639 SE Yamhill St,$849900,4,3,5193,"$7,933",Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School,1910
9712 N Ivanhoe St,$549900,3,2F11/2,2192,"$6,935",Sitton Elementary School,George Middle School,Roosevelt High School,2011
7301 SW Corbett Ave,$523000,3,2F11/2,2100,"$9,921",Rieke Elementary School,Gray Middle School,Wilson High School,1989
5916 SW Knightsbridge Dr,$615000,3,2F11/2,3024,"$10,530",Markham Elementary School,Jackson Middle School,Wilson High School,1989
2105 SE 89th Ave,$399900,2,1,1632,"$3,204",Harrison Park School,Harrison Park School,Madison High School,1929
7308 SE Woodward St,$469950,3,2,2298,"$4,950",Bridger Elementary School,Bridger Elementary School,Franklin High School,1956
4521 SW Fairview Blvd,$749900,4,3,3114,"$10,819",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1992
1500 SW 5th Ave ,$1450000,3,2,2436,"$8,218",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1973
1906 NE Junior St,$420000,4,1F11/2,1520,"$4,060",Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools,1973
6431 SE Morrison St,$599000,3,2,2478,"$5,315",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1927
5607 SE Lambert St,$349950,2,1,978,"$3,288",Lewis Elementary School,Sellwood Middle School,Cleveland High School,1928
6925 NE Siskiyou St,$349900,3,1,1878,"$3,750",Rose City Park,Roseway Heights School,Madison High School,1912
322 NE 76th Ave,$450000,4,2,2144,"$3,820",Vestal Elementary School,Roseway Heights School,Madison High School,1909
7419 N Washburne Ave,$635000,3,2F11/2,3064,"$5,582",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1941
10230 NW Gloaming Ln,$831300,4,3,3110,"$18,088",Forest Park Elementary School,West Sylvan Middle School,Lincoln High School,2005
12280 SE Main St,$199900,2,1,962,"$1,968",Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School,1966
5875 NE Failing St,$549900,3,3F11/2,2200,"$5,138",Scott Elementary School,Roseway Heights School,Madison High School,1925
7230 N Monteith Ave,$369900,3,1,1016,"$3,533",Astor Elementary School,Astor Elementary School,Roosevelt High School,1948
5230 SW Burton Dr,$1390000,5,3F11/2,3394,"$17,207",Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School,1941
1220 NE 17th Ave ,$258000,2,1,962,"$2,920",Buckman Elementary School,Hosford Middle School,Cleveland High School,1963
5522 SE Ramona St,$599900,4,2,2812,"$5,172",Woodstock Elementary School,Hosford Middle School,Cleveland High School,1912
6143 SW 45th Ave,$425000,3,1,1330,"$5,030",Hayhurst Elementary School,Gray Middle School,Wilson High School,1951
230 N Lotus Isle Dr,$785000,5,4,3530,"$12,576",Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools,1989
1255 NW 9th Ave ,$450000,1,1,943,"$4,873",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,2004
9938 N Jersey St,$225000,3,1,936,"$2,648",Sitton Elementary School,George Middle School,Roosevelt High School,1955
9946 N Jersey St,$225000,3,1,936,"$2,626",Sitton Elementary School,George Middle School,Roosevelt High School,1955
1931 SE 58th Ave,$414900,2,1,2300,"$6,706",Atkinson Elementary School,Mt Tabor Middle School,Franklin High School,1926
4048 SE Salmon St,$665000,3,2,2460,"$3,774",Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School,1900
2705 N Hunt St,$419999,3,2,1602,"$2,309",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1923
3103 SW Nottingham Dr,$685000,3,2,2106,"$12,056",Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School,1979
9428 N Haven Ave,$389900,3,2F11/2,1818,"$5,727",Rosa Parks Elementary School,George Middle School,Roosevelt High School,2006
7125 N Albina Ave,$349000,2,1F11/2,1596,"$3,072",Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1956
5525 NW Skyline Blvd,$1100000,4,3,4562,"$13,067",Skyline Elementary School,Skyline Elementary School,Lincoln High School,1995
2719 N Farragut St,$469500,4,2,2593,"$3,785",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1913
1715 SE 36th Ave,$589000,4,2,2423,"$4,486",Abernethy Elementary School,Hosford Middle School,Cleveland High School,1911
11203 SW 27th Ave,$556900,4,2F11/2,2152,"$8,215",Stephenson Elementary School,Jackson Middle School,Wilson High School,1996
5924 SE Cesar E Chavez Blvd,$649000,4,2,2498,"$5,955",Woodstock Elementary School,Hosford Middle School,Cleveland High School,1946
3205 NE 75th Ave,$594900,5,2,2194,"$5,460",Lee Elementary School,Roseway Heights School,Madison High School,1929
416 NW 13th Ave ,$450000,1,1,1089,"$6,433",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1910
6625 SE Duke St,$339900,3,2,2053,"$4,017",Woodstock Elementary School,Hosford Middle School,Cleveland High School,1948
12631 SE Stephens St,$258000,2,1,888,"$2,767",Mill Park Elementary School,Ron Russell Middle School,David Douglas High School,1948
2915 N Hunt St,$419000,4,1F11/2,1296,"$3,047",Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools,1951
11937 SE Schiller St,$350000,3,2F11/2,2604,"$4,166",West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School,2000
7904 SW Capitol Hill,$475000,3,2F11/2,2053,"$5,416",Rieke Elementary School,Gray Middle School,Wilson High School,1953
122 NW Pittock Ave,$735000,3,3F11/2,3426,"$9,919",Chapman Elementary School,West Sylvan Middle School,Lincoln High School,1947
14545 NE Brazee Ct,$349999,4,2,1898,"$3,650",Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School,1961
6236 NE Willow St,$415000,3,2,1072,"$3,340",Glencoe Elementary School,Mt Tabor Middle School,Franklin High School,1979
8037 SW Devon Ln,$539500,3,2F11/2,1890,"$7,117",Maplewood Elementary School,Jackson Middle School,Wilson High School,1996
6225 SE 13th Ave,$569900,3,2,2072,"$6,426",Llewellyn Elementary School,Sellwood Middle School,Cleveland High School,1961
6035 SE Knight St,$360000,3,1F11/2,1476,"$3,619",Woodstock Elementary School,Hosford Middle School,Cleveland High School,1928
8317 SE Clay St,$389900,3,2F11/2,1850,"$6,077",Harrison Park School,Harrison Park School,Madison High School,2000
