Street,Price,Beds,Baths,Square Footage
3269 NE Dekum St,$429999,3,2,1976
205 SW Montgomery St #404B,$445900,2,2,1143
3231 SE Schiller St,$595000,3,2,2644
2222 SE 135th Ave,$349000,3,1,1184
2033 NE 95th Pl,$459000,3,1F11/2,1944
1849 N Jantzen Ave,$289000,3,1,2064
3133 N Willis Blvd,$324900,3,1,945
1109 NW 97th Ave,$574900,4,3,2193
4296 NW Tamoshanter Way,$559000,3,2,1925
4516 NE 86th Ave,$334500,2,1,800
610 NE 172nd Ave,$319950,4,2,1540
1930 SW River Dr,$649000,2,2,1481
4016 SW Patton Rd,$612900,3,2F11/2,2547
1500 SW 11th Ave #506,$329900,1,1,603
7522 SE Rural St,$389900,4,2,1883
6532 SE 81st Ave,$549000,5,2,3187
734 NE 28th Ave,$499000,3,2F11/2,1946
3671 SE Knapp St,$814900,4,2F11/2,2686
1628 SE 41st Ave,$499000,2,1,1656
1125 NW 9th Ave #307,$320000,1,1,711
5312 NE 12th Ave,$540000,4,2,2054
5108 N Trenton St,$299900,3,1,936
1531 N Alberta St,$349900,4,1,2250
11745 SE Pine St,$225000,3,1,1200
2380 NE Jarrett St,$749900,4,3F11/2,2935
410 NW 18th Ave #203,$585000,3,1,1283
15226 SE Flavel St,$449995,5,3,2279
15234 SE Flavel St,$444995,4,2F11/2,2219
1150 NW Quimby St #1510,$685500,1,1,1097
9219 SE Pardee St,$525000,4,2,2410
4019 N Overlook Ter,$995000,3,2F11/2,2756
12 NE Fremont St #6E,$945000,2,2,1662
12 NE Fremont St #8W,$1175000,3,2,1685
12 NE Fremont St #4W,$775000,2,2,1664
528 SE 128th Ave,$329000,3,1,1170
12 NE Fremont St #7E,$995000,3,2,1686
